d-	μᾶλλον	QR
c-	ὅταν	C-AN
c-	οὔτε	NEG-CLTE
c-	μέχρι	C
c-	ἵνα	C
c-	ὅτε	C
c-	μή	C
c-	ἔστε	C
c-	μηδέ	NEG-CONJ
c-	ὡς	WADV
c-	πλήν	C
c-	ἤ	C
c-	ἤτοι	CONJ-CLPRT
c- 	εὖτε	C
c-	μήτε	NEG-CLTE
c-	οὐδέ	NEG-CONJ
c-	καί	CONJ
c-	εἴτε	CONJ
c-	κἄν	split
c-	ἐπεί	C
c-	ἕως	C
c-	ἐάν	C-AN
c-	διό	C
c-	διότι	C+WPROA
c-	ὅπως	C
c-	εἰ	C
c-	ὥστε	C-CLTE
c-	ἀλλά	CONJ
c-	τε	CLTE
c-	πρίν	C
c-	ὅτι2	C
dr	ὥσπερ	WADV-CLPRT
dr	ὥστε	WADV-CLTE
dr	καθότι	C+WPRO-CLQ
g-	τοίνυν	CLPRT-CLPRT
g-	πω	CLPRT
g-	ἄρα	CLPRT
g-	τοιγαροῦν	CLPRT-CLPRT-CLPRT
g-	τοι	CLPRT
g-	καίτοι	CONJ-CLPRT
g-	ἦ	CLPRT
g-	ἤτοι	CONJ-CLPRT
g-	γάρ	CLPRT
g-	δή	CLPRT
g-	δέ	CLPRT
g-	μέν	CLPRT
g-	ἄγω	X	
g-	τοιγάρ	CLPRT-CLPRT
g-	φέρω	X
g-	οὐκοῦν	NEG-CLPRT
g-	ἆρα	PRTQ
g-	γοῦν	CLGE-CLPRT
g-	νῦν	CLPRT
g-	μέντοι	CLPRT-CLPRT
g-	περ	CLPRT
g-	ἀτάρ	CONJ
g-	οὔκουν	NEG-CLPRT
g-	οἷα	X
g-	εἰ	C
g-	γε	CLGE
g-	μήν	CLPRT
g-	τε	CLTE
g-	οὖν	CLPRT
pd	ἐκεῖνος	D
pd	τοσοῦτος	Q	
pd	τοσόσδε	Q
pd	τόσος	Q
pd	ὅδε	D
pd	τοιοῦτος	D
pd	τοιόσδε	D
pd	οὗτος	D
pd	τοῖος	D
pi	τίς	WPRO
pi	ὅστις	WPRO-CLQ
pi	ὁποῖος	WADJ
pi	ὁπόσος	WADJ
pi	πόσος	WADJ
pi	ποῖος	WADJ
pp	ἐγώ	PRO
pp	αὐτός	PRO
pp	σύ	PRO
pp	ἕ	PRO
pp	μιν	PRO
pp	σφεῖς	PRO
pr	οἷος	WADJ
pr	ὅστις	WPRO-CLQ
pr	ὁποῖος	WADJ
pr	ὅς	WPRO
pr	ὁπότερος	WPRO
pr	ὁπόσος	WADJ
pr	ὅσος	WADJ
