A-_---------n	ADJU
A-_-p---fac-i	ADJR
A-_-p---fap-i	ADJA
A-_-p---fdp-i	ADJD
A-_-p---fgp-i	ADJ$
A-_-p---fgs-i	ADJS
A-_-p---fnc-i	ADJR
A-_-p---fnp-i	ADJ
A-_-p---fns-i	ADJS
A-_-p---mac-i	ADJR
A-_-p---map-i	ADJA
A-_-p---mdc-i	ADJR
A-_-p---mdp-i	ADJD
A-_-p---mgc-i	ADJR
A-_-p---mgp-i	ADJ$
A-_-p---mgs-i	ADJS
A-_-p---mnc-i	ADJR
A-_-p---mnp-i	ADJ
A-_-p---mvp-i	ADJ
A-_-p---nac-i	ADJR
A-_-p---nap-i	ADJA
A-_-p---ndp-i	ADJD
A-_-p---nds-i	ADJS
A-_-p---ngc-i	ADJR
A-_-p---ngp-i	ADJ$
A-_-p---nnc-i	ADJR
A-_-p---nnp-i	ADJ
A-_-p---odp-i	ADJD
A-_-p---pap-i	ADJA
A-_-p---pnp-i	ADJ
A-_-p---pvp-i	ADJ
A-_-p---qdp-i	ADJD
A-_-p---qgp-i	ADJ$
A-_-p---qgs-i	ADJS
A-_-s---fac-i	ADJR
A-_-s---fap-i	ADJA
A-_-s---fdc-i	ADJR
A-_-s---fdp-i	ADJD
A-_-s---fgp-i	ADJ$
A-_-s---fnc-i	ADJR
A-_-s---fnp-i	ADJ
A-_-s---fns-i	ADJS
A-_-s---fvp-i	ADJ
A-_-s---mac-i	ADJR
A-_-s---map-i	ADJA
A-_-s---mdc-i	ADJR
A-_-s---mdp-i	ADJD
A-_-s---mgc-i	ADJR
A-_-s---mgp-i	ADJ$
A-_-s---mgs-i	ADJS
A-_-s---mnc-i	ADJR
A-_-s---mnp-i	ADJ
A-_-s---mns-i	ADJS
A-_-s---mvp-i	ADJ
A-_-s---mvs-i	ADJS
A-_-s---nac-i	ADJR
A-_-s---nap-i	ADJA
A-_-s---nas-i	ADJS
A-_-s---ndp-i	ADJD
A-_-s---nds-i	ADJS
A-_-s---ngp-i	ADJ$
A-_-s---nnc-i	ADJR
A-_-s---nnp-i	ADJ
A-_-s---nvp-i	ADJ
A-_-s---oac-i	ADJR
A-_-s---oap-i	ADJA
A-_-s---odp-i	ADJD
A-_-s---ogp-i	ADJ$
A-_-s---pap-i	ADJA
A-_-s---pgp-i	ADJ$
A-_-s---pnc-i	ADJR
A-_-s---pnp-i	ADJ
A-_-s---qap-i	ADJA
A-_-s---qdp-i	ADJD
A-_-s---qgp-i	ADJ$
Df_---------n	ADV
Df_-------c-i	ADVR
Df_-------p-i	ADV
Df_-------s-i	ADVS
F-_---------n	FW
I-_---------n	INTJ
Ma_---------n	NUM
Ma_-p---fa--i	NUM
Ma_-p---fd--i	NUM
Ma_-p---fn--i	NUM
Ma_-p---ma--i	NUM
Ma_-p---md--i	NUM
Ma_-p---mg--i	NUM
Ma_-p---mn--i	NUM
Ma_-p---na--i	NUM
Ma_-p---ng--i	NUM
Ma_-p---nn--i	NUM
Ma_-p---pa--i	NUM
Ma_-p---pn--i	NUM
Ma_-p---qa--i	NUM
Ma_-p---qg--i	NUM
Ma_-p---qn--i	NUM
Ma_-s---fa--i	NUM
Ma_-s---fd--i	NUM
Ma_-s---fg--i	NUM
Ma_-s---fn--i	NUM
